微博id,微博正文,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IkqQWf9NP,"转发理由:转发微博  
原始用户: 谷大白话
转发内容: 【著名考研网站发布2019年度看片大数据汇总】全年访问量420亿，搜索量390亿；新增视频683万个，时长169年；社交媒体属性进一步增强，有7000万条信息被发送；新增素人模特近十万；定义2019的关键词前三名是：素人，外星人，POV。卖洗澡水的Belle Delphine排名第四，mature第五(GILF片观看量增加)，前十...全文 [组图共15张] 原图 ",无,"http://ww3.sinaimg.cn/large/6aa09e8fly1g9ty666wxzj20i23cnwr7.jpg,http://ww3.sinaimg.cn/large/6aa09e8fly1g9ty66ewm2j20h8267tgy.jpg,http://ww2.sinaimg.cn/large/6aa09e8fly1g9ty66nfi0j20h81x7thu.jpg,http://ww1.sinaimg.cn/large/6aa09e8fly1g9ty670byuj20rs423tqf.jpg,http://ww4.sinaimg.cn/large/6aa09e8fly1g9ty67f0itj20rs49dh92.jpg,http://ww1.sinaimg.cn/large/6aa09e8fly1g9ty67tnhrj20h86v0kfd.jpg,http://ww4.sinaimg.cn/large/6aa09e8fly1g9ty6860pyj20h824kgx7.jpg,http://ww1.sinaimg.cn/large/6aa09e8fly1g9ty68e7l2j20h81rstg2.jpg,http://ww3.sinaimg.cn/large/6aa09e8fly1g9ty68n6vtj20h83or4gn.jpg,http://ww3.sinaimg.cn/large/6aa09e8fly1g9ty692p3rj20h81gwjxn.jpg,http://ww3.sinaimg.cn/large/6aa09e8fly1g9ty699cfdj20h8249dou.jpg,http://ww2.sinaimg.cn/large/6aa09e8fly1g9ty69mbfvj20h8249guq.jpg,http://ww4.sinaimg.cn/large/6aa09e8fly1g9ty65yky5j20h82497d7.jpg,http://ww1.sinaimg.cn/large/6aa09e8fly1g9ty69vtvnj20h8249qbi.jpg,http://ww1.sinaimg.cn/large/6aa09e8fly1g9ty6a31r9j20h824911e.jpg",False,无,无,2019-12-12 15:28,贫困家庭iPhone 11 Pro Max,1390,98,116
IkiSViKpA,"转发理由://@xiaolwl:每月仅需1.6万元 评论配图  
原始用户: 魏布斯
转发内容: 仅对于专业用户来说，Mac Pro 这套的价格其实还好了。我大概看了下，要 6-7 周才发货，等不了，算了不买了...  [组图共2张] 原图 ",https://ww3.sinaimg.cn/large/43e5425dgy1g9sztq4vuzj20us0u0juc.jpg,"http://ww3.sinaimg.cn/large/68ca84e3gy1g9sjh1ilwcj21bn0u0n0z.jpg,http://ww1.sinaimg.cn/large/68ca84e3gy1g9sjh1gr37j20yr0u0dmp.jpg",False,无,无,2019-12-11 19:11,贫困家庭iPhone 11 Pro Max,2942,14,123
Ik0cUpfjj,"转发理由:转发微博  
转发内容: 抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP  ",无,无,False,无,无,2019-12-09 19:38,贫困家庭iPhone 11 Pro Max,408,0,60
IjJ2TuwFx,"转发理由:转发微博  
原始用户: 快乐足球happyfootball
转发内容: 孙哥这球亚洲速度，亚洲之光  快乐足球happyfootball的微博视频  ",无,无,False,无,无,2019-12-07 23:56,iPhone 11 Pro Max(深空灰),1184,194,214
IjtP39Ogy,"转发理由:转发微博  
原始用户: GeekPark
转发内容: 【让残疾人站起来的轮椅】大部分残疾人移动只能够依靠轮椅，但一个人坐太长时间，双腿肌肉容易萎缩，而且做一些事情也会特别不方便。土耳其公司研发的 Tek RMD，是一款让残疾人站起来的轮椅。只要把脚固定在 TEK RMD 的脚踏上，将安全带绑到自己的腰上，就能像骑马一样操作。这样不仅可以锻炼到他们的下肢，而且让他们像正常人一样生活，可以重塑残疾人对生活的信心。科技view的秒拍视频                     ",无,无,False,无,无,2019-12-06 09:11,iPhone 11 Pro Max(深空灰),652,86,41
Ijo8DzzV9,新年好 广州·广州塔摩天轮  显示地图 原图 ,http://wx3.sinaimg.cn/large/43e5425dgy1g9m1aog7a2j22c0340e83.jpg,无,True,无,广州·广州塔摩天轮,2019-12-05 18:43,iPhone 11 Pro Max(深空灰),13995,642,2409
IjnKzDWbD,滴 广州·广州塔摩天轮  显示地图 原图 ,http://wx4.sinaimg.cn/large/43e5425dgy1g9lzl0a8bzj21sr2eckjm.jpg,无,True,无,广州·广州塔摩天轮,2019-12-05 17:43,iPhone 11 Pro Max(深空灰),4424,54,510
Ij9MzhIf9,"转发理由:转发微博  
原始用户: 翔翔大作战Fly
转发内容: 来一波福利，简单粗暴，转发➕关注我和我的朋友@趣评测詹志斌12月17日抽两个朋友各送苹果11手机一部@微博抽奖平台大家动动手指，万一呢，😃祝大家好运  抽奖详情  [组图共9张] 原图 ",无,"http://ww1.sinaimg.cn/large/006VDAYRgy1g9jo0ghjtdj30ij0ijt9n.jpg,http://ww3.sinaimg.cn/large/006VDAYRgy1g9jo0h06phj30ii0ijgna.jpg,http://ww4.sinaimg.cn/large/006VDAYRgy1g9jo0hdhm3j30ij0ijt9q.jpg,http://ww3.sinaimg.cn/large/006VDAYRgy1g9jo0g1lj4j30ij0iiwfr.jpg,http://ww1.sinaimg.cn/large/006VDAYRgy1g9jo0htfanj30ii0iit99.jpg,http://ww4.sinaimg.cn/large/006VDAYRgy1g9jo0i6g43j30ij0ii75k.jpg,http://ww1.sinaimg.cn/large/006VDAYRgy1g9jo0ir2qdj30ij0ijjrt.jpg,http://ww1.sinaimg.cn/large/006VDAYRgy1g9jo0j60hij30ii0ijt9o.jpg,http://ww4.sinaimg.cn/large/006VDAYRgy1g9jo0jy7s6j30ij0ij3yw.jpg",False,无,无,2019-12-04 06:10,iPhone 11 Pro Max(深空灰),681,3,73
Ii6SQCuCg,爱乐维好贵啊 武汉  显示地图 原图 ,http://wx4.sinaimg.cn/large/43e5425dgy1g9cbeprps3j20u0140444.jpg,无,True,无,无,2019-11-27 08:57,iPhone 11 Pro Max(深空灰),113717,13038,5628
Ii18IhCpi,"转发理由://@xiaolwl:给老婆求同款链接  
转发内容: //t.cn/Rfd3rQV ",无,无,False,无,无,2019-11-26 18:19,iPhone 11 Pro Max(深空灰),4656,0,353
IhWsXw8Kr,"转发理由:学起来  
原始用户: IAMGOUTONG
转发内容: 物理治疗师教你全身肌肉拉伸放松训练动作肌肉拉伸的好处：①——改善体态 ②——身心愉悦 ③——提高柔韧性 ④——提高运动能力 ⑤——增加身体和组织温度 ⑥——提高软组织放松的效率 ⑦——减少肌肉的紧张与疼痛 ⑧——加快神经冲动及传导速度 ⑨——使受压的血管神经得到缓解 ⑩——减少关节扭伤和肌肉拉伤的风险 11——减少女性痛经和男性尿频带来的痛苦  IAMGOUTONG的微博视频                     ",无,无,False,无,无,2019-11-26 06:26,iPhone 11 Pro Max(深空灰),1087,519,116
IhPrWtWTD,肖战也太帅了吧，绿光好听，唱的作为一个男人我竟然有点喜欢绿色... 武汉·中南电力设计院  显示地图 [组图共6张] 原图 ,"http://ww4.sinaimg.cn/large/43e5425dly1g9a6fulsitj21hc0u0ayy.jpg,http://ww4.sinaimg.cn/large/43e5425dly1g9a6fv0qe4j21hc0u0e81.jpg,http://ww4.sinaimg.cn/large/43e5425dly1g9a6fw04urj21hc0u0npd.jpg,http://ww1.sinaimg.cn/large/43e5425dly1g9a6fu610kj21hc0u04qp.jpg,http://ww4.sinaimg.cn/large/43e5425dly1g9a6fwwdi8j21hc0u04qp.jpg,http://ww3.sinaimg.cn/large/43e5425dly1g9a6fxip3fj21hc0u0kj9.jpg",无,True,无,武汉·中南电力设计院,2019-11-25 12:34,iPhone 11 Pro Max(深空灰),39981,1520,3845
IhGnkwF2o,"转发理由://@钟文泽:我参加大V转发激励计划，获得了宠粉红包，转发并关注我，成为我的人吧，抽5位幸运粉丝平分200元，明日开奖！@微博抽奖平台//@钟文泽:非洲小孩价格真低啊…录一个罗家英能录三百多个非洲小孩…  
原始用户: 阑夕
转发内容: 终于有人做平台了⋯⋯  [组图共9张] 原图 ",无,"http://ww4.sinaimg.cn/large/5d098bccgy1g9819w96a3j20u01sz1l5.jpg,http://ww2.sinaimg.cn/large/5d098bccgy1g9819y8bvuj20u01sz7wq.jpg,http://ww2.sinaimg.cn/large/5d098bccgy1g981a0ebysj20u01szqvd.jpg,http://ww1.sinaimg.cn/large/5d098bccgy1g981a4ayktj20u01sz7wp.jpg,http://ww4.sinaimg.cn/large/5d098bccgy1g981a64jhej20u01sz4qy.jpg,http://ww3.sinaimg.cn/large/5d098bccgy1g981a887wij20u01sznpm.jpg,http://ww3.sinaimg.cn/large/5d098bccgy1g9819trdkoj20u01szu16.jpg,http://ww4.sinaimg.cn/large/5d098bccgy1g981a2f1l0j20u01sz1l6.jpg,http://ww4.sinaimg.cn/large/5d098bccgy1g981abwqsjj20u01sz1l6.jpg",False,无,无,2019-11-24 13:28,iPhone 11 Pro Max(深空灰),460,7,54
IhBKTtq7s,"转发理由:美如画  
原始用户: TheLancet-Vivian
转发内容: 经典回顾！1993年总决赛，乔丹对阵太阳6场比赛场均41.0分8.5篮板6.3助攻原声集锦！其中还包括了一场55分，各种背打、后仰和无解的突破，面对包夹依然无所畏惧！MJ生涯最强的系列赛之一，近25分钟长篇，可以收藏！篮球大历史的秒拍视频   ",无,无,False,无,无,2019-11-24 01:42,iPhone 11 Pro Max(深空灰),1207,98,83
Ihzns7UXn,"转发理由:转发微博  
原始用户: 少数派sspai
转发内容: 【FM 3.14 | 这些音乐让你睡好觉，杨乃文 、魏如萱新专、《摩登时代》新单曲发布】人的大脑会存在不同频率的脑电波，主宰夜间睡眠的是让人进入深度放松状态的 δ 波。本周睡眠音乐也主要是基于这个频率范围，融合了冥想音乐和自然音乐，让你在静静的聆听之后缓慢入睡。| 全文：FM 3.14 | 这些音乐让你睡好觉，杨乃文 、魏如萱新专、《摩登时代》新单曲发布  原图 ",无,http://wx2.sinaimg.cn/large/72157b63ly1g9876jneprj21uo0m848p.jpg,False,无,无,2019-11-23 19:39,iPhone 11 Pro Max(深空灰),164,18,39
IhhxPhBci,"转发理由:转发微博  
原始用户: 趣评测詹志斌
转发内容: #趣拍VLOG#来参加米其林奔驰AMG驾驶学院，美女跑车赛道，速度与激情的碰撞，来感受下飘起来的感觉吧  趣评测詹志斌的微博视频  抽奖详情  ",无,无,False,无,无,2019-11-21 22:15,iPhone客户端,169,0,30
IgKGk6tBu,"转发理由:独二应该无三  
原始用户: 钟文泽
转发内容: 【 搞机零距离：华为 Mate X 折叠屏体验 翻折世界用起来真的爽！】华为，折叠屏，5G，跳票，一万七，一机难求，这些元素组合成了2019年的一场年度大戏。在这样的关注下，Mate X 终于来了。这不是一款完美的手机，它的缺点明显；但这又是一款如此独特的手机：在手机与平板之间自由切换的体验，两种屏幕...全文 ",无,无,False,无,无,2019-11-18 10:35,iPhone 11 Pro Max,287,7,42
IgJQwmCUo,"转发理由:转发微博  
原始用户: 科技新一
转发内容: 【送iPhone11 Pro Max和AirPods Pro】关注我和@M大肉 ，转发此微博，11月18号用@微博抽奖平台 抽一位粉丝送出这两样！随手一转目前最火的两样数码产品有可能就是你的了！！！  [组图共2张] 原图 ",无,"http://ww2.sinaimg.cn/large/a66d0169ly1g8qrtftqyzj20tf0x1dhw.jpg,http://ww3.sinaimg.cn/large/a66d0169ly1g8qrtg08qpj20u00x9gms.jpg",False,无,无,2019-11-18 08:28,iPhone 11 Pro Max,793,0,64
IgDw44Zfg,"转发理由:  
转发内容: //t.cn/Rfd3rQV ",无,无,False,无,无,2019-11-17 16:21,iPhone 11 Pro Max,131,0,27
IgchQlB5R,"转发理由:转发微博  
原始用户: 钟文泽
转发内容: 手表跟智能手表比起来有点像纸质书和电纸书的区别，枪灰色的皮革纹理质感很好， 4.6 厘米的表径听着吓人，但手表内圈的下凹处理增加了立体感，看起来并不笨重，随便戴戴就很像运动型男（没错，这个位置的用词非常准确）。 手表支持 200 米防水，螺旋表冠，可旋转潜水圈，支持夜光功能，具备所有潜水表的基本配置。 叫“罐头”是因为表壳外面还有一层护甲，保护性更好。配备太阳电能机芯不用担心续航问题，有光就能充电，满电能用 10 个月左右，最多 20 年不用换电池，相当省心。         [组图共5张]      原图                     ",无,"http://ww2.sinaimg.cn/large/719f9f6bly1g8rme9lcexj20m80m8nho.jpg,http://ww3.sinaimg.cn/large/719f9f6bly1g8rmehnfjpj20jr0u00vg.jpg,http://ww3.sinaimg.cn/large/719f9f6bly1g8rmekcr8yj20u01hcjza.jpg,http://ww4.sinaimg.cn/large/719f9f6bly1g8rmelyspjj218w0u00wj.jpg,http://ww1.sinaimg.cn/large/719f9f6bly1g8rmeoc93yj213s0qojub.jpg",False,无,无,2019-11-14 19:01,iPhone 11 Pro Max,181,2,27
Ig44BhhIY,"转发理由:转发微博  
原始用户: 魏布斯
转发内容: 【苹果全新 16 英寸 MacBook Pro 魏布斯全网首发快速上手体验】「@WEIBUSI 出品」 MacBook Pro 15.4作为经典 Pro 级产品已经被不少专业用户使用，今天苹果正式发布了全新 16 英寸 MacBook Pro 除了屏幕增大外，最高也配备第九代八核i9处理器+64GB运存+8TB闪存。究竟性能表现如何？键盘手感如何？还有哪些改进？（勘误：由于熬夜拍摄，视频中关于尺寸对比大小的单位“口误”，抱歉） #品·WEI# 一起来看视频惹~ 魏布斯的微博视频 抽奖详情                     ",无,无,False,无,无,2019-11-13 22:07,iPhone 11 Pro Max,188,2,22
Ig43ZbhEj,"转发理由:转发微博  
原始用户: 钟文泽
转发内容: 【 搞机零距离：16寸 MacBook Pro 评测 史上最强苹果笔记本 直接干掉15寸大哥 】苹果刚刚在官网悄无声息的发布了史上最强的 MacBook Pro。最被关注的屏幕提升到 16 寸其实只是诸多升级的一方面，这款笔记本的性能升级，能够为更多专业人士提供更强大的功能帮助，笔记本的音响效果升级，录音效果升级，...全文 ",无,无,False,无,无,2019-11-13 22:05,iPhone 11 Pro Max,120,4,26
Ig0Um7LT6,"转发理由:转发微博  
原始用户: 上帝之鹰_5zn
转发内容: 为梁美芬教授打call，黑暗中的一缕光明  原图 ",无,http://wx3.sinaimg.cn/large/6232a59agy1g8w52lklbsj20u02h87wh.jpg,False,无,无,2019-11-13 14:03,iPhone 11 Pro Max,958,51,119
IfBN21dqj,"转发理由:转发微博  
原始用户: 钟文泽
转发内容: 【抽奖】华为 Mate30 系列 5G 版 11 月 1 日开售。转发微博 + 关注，送出 #华为Mate30# 5G 版一台 + 主动降噪耳机 FreeBuds 3，开奖时间是 11 月 11 日当天。抽奖不白抽，再次看看我前阵子整合了华为、大疆、大理旅游局各种评测信息的呕心之作——《 Mate30 Pro 徕卡四镜头评测：大理篇》。听说转发评论点赞越积极，抽中大奖的概率就越多！钟文泽的微博视频                     ",无,无,False,无,无,2019-11-10 22:07,iPhone 11 Pro Max,169,4,20
IfAPD0LWp,今天绿色软件频频假死啊 武汉·江汉路  显示地图 ,无,无,True,无,无,2019-11-10 19:40,iPhone 11 Pro Max,2832,16,242
Ify8hn3CX,"转发理由://@38号美系性能控:这一集内容的观后感是：1，超前时代半步的人会得到认同，而超前n步的人不会被理解；2，越有天赋的人就越不应该为情所困，而应把情怀放在对人类发展有重大贡献的方向上；3，我们都应该珍惜时间，用自己宝贵的青春去创造更大的价值  
原始用户: 李永乐老师
转发内容: 为啥不能三等分任意角?阿贝尔和伽罗瓦有什么贡献？【尺规作图2/2】古希腊时代开始，有三个尺规作图问题一直困扰着人们，它们是倍体立方问题、三等分任意角问题、画圆为方问题。直到19世纪初，天才的数学家阿贝尔和伽罗瓦提出了群论和域论，这个问题才被人们彻底解决。可是，天妒英才的两人都在非常年轻的时候就去世了，为数学界留下了无尽的遗憾。这一期视频带着大家一起了解一下他们的工作，并且给大家解释为什么三等分任意角是不可能的。#科普老师李永乐# 李永乐老师的微博视频                     ",无,无,False,无,无,2019-11-10 12:48,iPhone 11 Pro Max,410,74,39
